Pais(L),Pais(V),Year,Goles(Local),Goles(Visita),Goles_Totales
China,Alemania,1991,2,2,4
Estados Unidos,Francia,1991,1,0,1
Brasil,Estados Unidos,1991,3,0,3
Alemania,Francia,1991,1,2,3
China,Estados Unidos,1991,3,1,4
Noruega,Dinamarca,1991,2,2,4
Japón,Brasil,1991,0,2,2
Suecia,Estados Unidos,1991,2,2,4
Japón,Suecia,1991,0,5,5
Brasil,Estados Unidos,1991,3,1,4
Japón,Estados Unidos,1991,1,2,3
Brasil,Suecia,1991,2,2,4
Alemania,Nigeria,1991,4,0,4
China Taipéi,Italia,1991,0,5,5
Italia,Nigeria,1991,1,0,1
China Taipéi,Alemania,1991,0,3,3
China Taipéi,Nigeria,1991,2,0,2
Italia,Alemania,1991,0,2,2
Dinamarca,Alemania,1991,1,2,3
China,Suecia,1991,0,1,1
Noruega,Italia,1991,3,2,5
Estados Unidos,China Taipéi,1991,7,0,7
Suecia,Noruega,1991,1,4,5
Alemania,Estados Unidos,1991,2,5,7
Suecia,Alemania,1991,4,0,4
Noruega,Estados Unidos,1991,1,2,3
Alemania,Japón,1995,1,0,1
Suecia,Brasil,1995,0,1,1
Suecia,Alemania,1995,3,2,5
Brasil,Japón,1995,1,2,3
Suecia,Japón,1995,2,0,2
Brasil,Alemania,1995,1,6,7
Noruega,Nigeria,1995,8,0,8
Inglaterra,Canadá,1995,3,2,5
Noruega,Inglaterra,1995,2,0,2
Nigeria,Canadá,1995,3,3,6
Noruega,Canadá,1995,7,0,7
Nigeria,Inglaterra,1995,2,3,5
Estados Unidos,China,1995,3,3,6
Dinamarca,Australia,1995,5,0,5
Estados Unidos,Dinamarca,1995,2,0,2
China,Australia,1995,4,2,6
Estados Unidos,Australia,1995,4,1,5
China,Dinamarca,1995,3,1,4
Japón,Estados Unidos,1995,0,4,4
Noruega,Dinamarca,1995,3,1,4
Alemania,Inglaterra,1995,3,0,3
Suecia,China,1995,1,1,2
Estados Unidos,Noruega,1995,0,1,1
Alemania,China,1995,1,0,1
China,Estados Unidos,1995,0,2,2
Alemania,Noruega,1995,0,2,2
Estados Unidos,Dinamarca,1999,3,0,3
Corea del Norte,Nigeria,1999,1,2,3
Estados Unidos,Nigeria,1999,7,1,8
Corea del Norte,Dinamarca,1999,3,1,4
Nigeria,Dinamarca,1999,2,0,2
Estados Unidos,Corea del Norte,1999,3,0,3
Brasil,México,1999,7,1,8
Alemania,Italia,1999,1,1,2
Brasil,Italia,1999,2,0,2
