Local,Marcador,Visita,year
China,2:2 (1:1) ,Alemania,1991
Estados Unidos,1:0 (1:0) ,Francia,1991
Brasil,3:0 (2:0) ,Estados Unidos,1991
Alemania,1:2 (1:1) ,Francia,1991
China,3:1 (3:0) ,Estados Unidos,1991
Noruega,2:2 (1:2) ,Dinamarca,1991
Japón,0:2 (0:1) ,Brasil,1991
Suecia,2:2 (2:1) ,Estados Unidos,1991
Japón,0:5 (0:3) ,Suecia,1991
Brasil,3:1 (3:0) ,Estados Unidos,1991
Japón,1:2 (1:2) ,Estados Unidos,1991
Brasil,2:2 (0:1) ,Suecia,1991
Alemania,4:0 (3:0) ,Nigeria,1991
China Taipéi,0:5 (0:3) ,Italia,1991
Italia,1:0 (0:0) ,Nigeria,1991
China Taipéi,0:3 (0:2) ,Alemania,1991
China Taipéi,2:0 (1:0) ,Nigeria,1991
Italia,0:2 (0:0) ,Alemania,1991
Dinamarca,"1:2 (1:1, 1:1) (t. s.)",Alemania,1991
China,0:1 (0:1) ,Suecia,1991
Noruega,"3:2 (2:2, 1:1) (t. s.)",Italia,1991
Estados Unidos,7:0 (4:0) ,China Taipéi,1991
Suecia,1:4 (1:1) ,Noruega,1991
Alemania,2:5 (1:3) ,Estados Unidos,1991
Suecia,4:0 (3:0) ,Alemania,1991
Noruega,1:2 (1:1) ,Estados Unidos,1991
Alemania,1:0 (1:0) ,Japón,1995
Suecia,0:1 (0:1) ,Brasil,1995
Suecia,3:2 (0:2) ,Alemania,1995
Brasil,1:2 (1:2) ,Japón,1995
Suecia,2:0 (0:0) ,Japón,1995
Brasil,1:6 (1:3) ,Alemania,1995
Noruega,8:0 (2:0) ,Nigeria,1995
Inglaterra,3:2 (0:0) ,Canadá,1995
Noruega,2:0 (2:0) ,Inglaterra,1995
Nigeria,3:3 (1:2) ,Canadá,1995
Noruega,7:0 (3:0) ,Canadá,1995
Nigeria,2:3 (1:3) ,Inglaterra,1995
Estados Unidos,3:3 (2:1) ,China,1995
Dinamarca,5:0 (3:0) ,Australia,1995
Estados Unidos,2:0 (1:0) ,Dinamarca,1995
China,4:2 (1:1) ,Australia,1995
Estados Unidos,4:1 (0:0) ,Australia,1995
China,3:1 (1:1) ,Dinamarca,1995
Japón,0:4 (0:3) ,Estados Unidos,1995
